,name,What college are you at?,I identify as...,I want to be matched with people looking for...,I want to match with people who are,How do you feel about an open/polyamorous relationship?,What year are you in?,What years do you want to match with?,What do you study?,Where do you go?,How COVID-Secure is your Date?,What do you talk about?,How far do you go?,It's ok to leave friends on read,Capitalism has failed the planet,University COVID guidelines are too harsh,Sharking is predatory,Drug laws should be loosened,I am scared that if I express my opinions I will be cancelled,Pissing in the sink is normal,How smart are you compared to the average Oxford student?,Was clubbing a large part of your social life?,The Pre-Covid best night out was...,How do you feel about alcohol?,How do you feel about cigarettes?,Is music important in your relationships?,Who are your favourite musicians?,How stylish are you?,How outdoorsy are you?,How kinky are you compared to the average Oxford student?,Is sports important in your relationships?,How important is emotional vulnerability in your relationships?,Which of these traits is most important for you in a partner?,Which of these traits do you have most?,Which of these traits do you have least?,I would best describe my political views as being...,There are some political views I don't want to be matched with,I do not want to match with someone who is...,Best Chip Van in Oxford,Worst Subject,Sexiest JCR Position,Biggest Waste of Human Potential,Nicest College,Biggest Name On Campus,I want to enter a crush,My crush's first name is...,My crush's college is...,I do not want to match with someone from my college,I do not want to match with someone from my course,Is there a particular college you don't want a match from?,I don't want a match from...,How was the quiz?,Any feedback for next time?,Do you want to share any contact details with your match (other than your Oxford email)?,Submitted At,Token,Unnamed: 60,Unnamed: 61,Unnamed: 62
0,person 852,Christ Church,attack helicopter,,Nonbinary,Not interested,Second,"First, Second, Third",History and Politics,Dinner,"Live fast, die young",The Deep Stuff™,Peck on the cheek,1,3,3,2,2,4,2,5,3,Bullingdon,2,1,4,myself,1,2,2.0,1,5,Kindness,Ambition,Intelligence,I'm not political,False,"I'm not political, Sightly conservative, Moderate, Slightly left-wing",McCoy's,Biochemistry (Molecular and Cellular),Welfare,OUCA,Brasenose College,Chase Christopher Koch of Christ Church (CoCK),True,person 852,Christ Church,True,False,True,Exeter College,4,j,True,2020-10-17 17:19:40,c8kuwkpj23iamn4c8xskjhgp7t8xqmj1,,,
1,person 60,Lady Margaret Hall,Male,,Female,Not interested,Third,"Second, Third, Fourth + / Post Grad",Law (Jurisprudence),Drinks,"Live fast, die young",Politics,Horizontal,4,3,1,3,5,2,5,3,4,Fever,4,3,4,"Tyler the Creator, Rex Orange County, Loyle Carner",4,4,4.0,3,5,Sense of Humour,Sense of Humour,Ambition,Moderately left-wing,False,,Hassan's,Archaeology and Anthropology,Entz,The Union,Exeter College,Malala,False,,,False,False,False,,4,Nah,True,2020-10-17 17:59:29,uubh5nxvl9zjpupaosueuubhs2y15tyo,,,
2,person 52,Lady Margaret Hall,Female,,"Male, Female, Nonbinary",Happy either-way,Third,"Second, Third, Fourth + / Post Grad",English Language and Literature,Drinks,"Live fast, die young","Art, Music, Culture...",Horizontal,3,4,3,4,4,1,5,2,4,Fever,4,3,3,,5,4,5.0,1,4,Confidence,Sense of Humour,Ambition,Moderately left-wing,True,Very conservative,Hassan's,Chemistry,Welfare,OUCA,Mansfield College,Malala,False,,,True,True,False,,5,The double negatives in the college and course questions confused me (double negative),True,2020-10-17 17:59:49,kzujua8vd2y6s8u2onkzujuazu40bfwn,,,"< salient advice here, have updated qs from here on out, but must flip the true/false on these two before matching. AY and AZ now read 'I am ok matching with...'"
3,person 1616,Lincoln College,Female,,Female,Not interested,Second,"Second, Third",Mathematics,Walk in the park,All virtual,"Art, Music, Culture...",Elbow Tap,3,5,2,4,5,2,1,3,2,,1,1,4,girl in red,3,4,2.0,2,4,Kindness,Kindness,Confidence,Very left-wing,True,"Sightly conservative, Moderately conservative, Very conservative, I'm not political, Moderate",Hassan's,Theology and Religion,Welfare,Rowing,Lady Margaret Hall,?,False,,,False,True,False,,3,no,True,2020-10-17 18:53:28,sf7g86qt6vdkr5sf7g8r003r9i00zi2l,,,
4,person 1306,St Hugh's College,Male,,Female,Not interested,Second,"Second, Third, First",History (Ancient and Modern),Coffee,2 Metres,"Art, Music, Culture...",Elbow Tap,2,2,3,3,2,4,2,3,1,,2,1,1,,2,3,1.0,1,1,Kindness,Sense of Humour,Confidence,Moderately conservative,False,,Hassan's,Economics and Management,President,Student Journalism,Corpus Christi College,Jesus,True,did not enter oxmatch,Corpus Christi College,True,True,False,,3,no,False,2020-10-17 19:05:19,p4e53wo7urugw2r17cp4e53wxt3k9aft,,,
5,person 2465,Christ Church,Male,,Male,Not interested,Second,"First, Second, Third",Modern Languages,Walk in the park,As long as it's legal,The Deep Stuff™,Elbow Tap,2,2,3,4,2,4,1,4,2,,2,2,3,,3,4,2.0,3,4,Kindness,Sense of Humour,Confidence,Moderately conservative,False,,Posh Nosh,Earth Sciences (Geology),Entz,Student Journalism,St Peter's College,Eve Bennett,True,person 760,Jesus College,True,True,False,,5,,False,2020-10-17 19:06:50,rq3zx5a0n4iohi9ef1vrq3zxefbl5699,,,
6,person 1691,Magdalen College,Female,,Male,Not interested,Second,"Second, Third, Fourth + / Post Grad",Medicine,Coffee,As long as it's legal,"Art, Music, Culture...",Elbow Tap,3,3,1,3,4,1,1,2,4,Bridge,4,2,5,ABBA,3,3,,1,5,Sense of Humour,Kindness,Ambition,Moderately left-wing,False,,Ahmed's,Economics and Management,Welfare,OUCA,Oriel College,Fucking BFR,False,,,False,True,False,,4,Nah it’s good!,False,2020-10-17 19:07:13,jmgrghnkgzznfdgjmggg5i3y3wk5ax2m,,,
7,person 452,Harris Manchester College,Male,,Female,Not interested,Fourth + / Post Grad,"Third, Fourth + / Post Grad, Second",Oriental Studies,Drinks,"Live fast, die young","Art, Music, Culture...",Horizontal,3,4,5,4,4,5,4,3,3,Bridge,4,4,2,,3,2,4.0,2,3,Intelligence,Sense of Humour,Kindness,Sightly conservative,False,,McCoy's,Economics and Management,President,The Union,Lincoln College,?,True,did not enter oxmatch,Harris Manchester College,True,False,False,,5,No,True,2020-10-17 19:07:19,w78q1ej3wfkjylfzknv7vw78q1ejf3an,,,
8,person 2116,Exeter College,Female,,"Male, Female, Nonbinary",Not interested,Third,"Third, Fourth + / Post Grad","Philosophy, Politics and Economics (PPE)",Coffee,2 Metres,"Art, Music, Culture...",Elbow Tap,3,4,1,4,4,1,1,4,3,Park End / ATIK / WTF it's called,3,2,3,,3,2,2.0,1,5,Intelligence,Intelligence,Intelligence,Moderately left-wing,True,"Sightly conservative, Moderately conservative, Very conservative, I'm not political",Hassan's,Physics,President,OUCA,New College,,False,,,True,True,False,,4,no,False,2020-10-17 19:07:58,nljgep36sgyoonlmzcy6sme0iwmf49sp,,,
9,person 1594,Oriel College,Female,,Male,Not interested,Third,"Third, Fourth + / Post Grad, Second",Computer Science,Drinks,All virtual,"Art, Music, Culture...",Peck on the cheek,3,2,2,3,3,4,3,3,3,A night in,3,1,3,,3,3,2.0,3,4,Sense of Humour,Sense of Humour,Confidence,Sightly conservative,True,"Very left-wing, Very conservative",Ahmed's,Religion and Oriental Studies,President,OUCA,Hertford College,Rona,False,,,False,True,False,,4,No,False,2020-10-17 19:08:51,j72y38mvgr344lj72742amciaojt5u0y,,,
