,I agree that I have bought a [ticket](https://fixr.co/event/215737120) and agree to the [Terms and Conditions](https://docs.google.com/document/d/1CMuFMFBw8FoJ2JRSkDh7QS31ZW5-Bf3\_BDg4pLLJ9B4/edit?usp=sharing).,name,Do you understand you won't get a match unless you've bought a ticket?,What college are you at?,What do you study?,"{{field:5be60ae4-75cb-48af-93d7-fb1955703b91}}, what year are you in?",What years do you want to match with?,I identify as...,I want to match with people looking for...,I want to match with someone who is:,How do you feel about a non-monogamous relationship?,I like Christmas the most for...,My ideal date is...,You are taking them to dinner. Where do you go?,What do you talk about?,How COVID-Secure is your Date?,Who pays?,What’s one thing you definitely want from your partner in the morning?,Fast forward to end of COVID-19. You and your partner are going on a dream romantic getaway. What continent is it on?,How political are you?,I would best describe myself as being...,Are there some political beliefs you don't want to match with?,I do not want to match with someone who is:,I would look after my drunk mate even if I had an essay due at 9am,"I’d always support my country, whether it was right or wrong.",Social activism is important to me,I'm very outgoing and extroverted,Climate change is the most important issue,My intellectual curiosity is the most important thing about me.,Being thought of as well dressed is important to me,"“From each according to his ability, to each according to his need” is a fundamentally good idea.
",I find extreme ambition attractive even when it interferes with family and friends,"Authority should always be questioned.
",No culture is superior to any other,It is important to me to promote access to Oxford,Making peace with the establishment is an important aspect of maturity.,"You cannot be moral without being religious
",I consider myself religious,There are some things that science cannot explain,Traditional gender roles exist for a reason,"Some people are naturally unlucky.
",Is it true that {{field:fead9b5e-ab90-4724-8d76-5bc0ee9a3a3b}} is the best college?,I think I have a healthy work/life balance.,I try to attend all lectures.,*Who has done* _*more*_* for women this term?*,I would never get with a tute partner,Best night out in Oxford?,"How do you describe organisations with hacks, slates, and famous debating societies? ",Are you smarter than most people at Oxford?,"Besides {{field:5be60ae4-75cb-48af-93d7-fb1955703b91}} {{field:7377cb3f-039d-4dc6-a882-0b64fac6f685}}, who is the Biggest Name on Campus?",Crewdates are...,Studying in the library is...,Are you a cat or a dog person?,What would you give your scout?,"Household bop or household baking?
",Emotional vulnerability is an important part of my friendships,Big spoon or little spoon?,How confident are you?,My humour is politically correct,Favourite game to play with friends?,My ideal date ends...,Do you announce to the porters if someone is staying over?,Are you kinky?,"Just so we’re really clear, are you naughty or nice? 😉",Best sconce?,Do you drink alcohol?,How much do you drink?,Do you smoke?,How much do you smoke?,"If you do nothing for an entire day, how do you feel?",Morning or Night person?,The ideal number of nights out is...,How important is music to you?,Favourite musicians? ,I consider myself outdoorsy,Vibe check - how wholesome are you?,I most want to get a...,I will most likely sell my soul to the city,How many children do you want?,I expect my children to attend Oxbridge,I want to be thought of as posh,"Looking back, if 2020 was a movie, what would it be called?",Which of these traits is most important for you in a partner?,Which of these traits is your best trait?,I would be disappointed if I didn't meet my match in person,I am happy to match with someone from my college,I am happy to match with someone from my course,Is there a particular college you don't want a match from?,I don't want a match from...,How was the quiz?,Any feedback for next time?,Do you want to include additional contact information for your match to reach you?,Your email is {{field:3b292fa4-3b1f-47db-8ef6-a631747f0486}} and you want to match with a {{field:cd7d9577-c952-4d05-b8b4-ef159867afa9}}.,Submitted At,Token
1,True,person 2852,1.0,Worcester College,Modern Languages and Linguistics,First,"Third, Fourth + / Post Grad",Male,,Male,Must have,The time off,Taste the countryside on Port Meadow,Takeaway and a film,Sex,5.0,Pay separately,Sex,Asia,5.0,Very left-wing,1.0,,5.0,1.0,4.0,,3.0,3.0,,4.0,4.0,5.0,5.0,5.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,2.0,It's closer than I'd like it to be,1.0,,3.0,3.0,harrison kay,4.0,3.0,2.0,Nice card for Christmas,3.0,3.0,4.0,3.0,4.0,Cards against Humanity,5.0,1.0,5.0,4.0,sconce anyone who's cried in a zoom class with their mic unmuted,0.0,,0.0,,2.0,4.0,,,,4.0,,First,1.0,0.0,1.0,1.0,it would not be a movie. it would be cancelled pre-filming,Confidence,Sense of Humour,4.0,0.0,0.0,1.0,Brasenose College,4.0,it'd be great if questions were a little more in-depth,1.0,1.0,2020-11-21 20:09:40,hcfxhffarvs95jr5tjjyj3hcfxhjipva
2,True,person 2334,1.0,Lincoln College,Biomedical Sciences,Second,"Second, Third, Fourth + / Post Grad",Female,,Male,Not interested,The food,Dinner at a nice restaurant,Dinner at a nice restaurant,"Art, Music, Culture...",3.0,Split equally,Breakfast,Europe,3.0,Moderately left-wing,1.0,,4.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,5.0,3.0,2.0,4.0,3.0,2.0,3.0,5.0,3.0,3.0,"A certain society related to philosophy, politics and economics",2.0,Park End,3.0,3.0,Ima silva,3.0,3.0,1.0,Chocolate,1.0,4.0,1.0,3.0,2.0,Cards against Humanity,3.0,3.0,4.0,3.0,Had sex in the college library,1.0,4.0,0.0,,2.0,4.0,3.0,5.0,"Nothing but thieves, my chemical romance, faith no more",3.0,4.0,Spouse,3.0,3.0,3.0,2.0,Shit,Intelligence,Kindness,4.0,0.0,0.0,0.0,,5.0,,1.0,1.0,2020-11-22 13:16:34,jz1yw3dbz83k7kkjz1yym5d0cx613x5s
3,True,person 1099,1.0,Corpus Christi College,Psychology (Experimental),Second,"Second, Third, Fourth + / Post Grad",Female,,Male,Not interested,Quality time with family and friends,Taste the countryside on Port Meadow,Takeaway and a film,"Art, Music, Culture...",5.0,Split equally,Sex,Europe,3.0,Slightly left-wing,0.0,,4.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,5.0,4.0,3.0,1.0,2.0,2.0,1.0,3.0,5.0,4.0,4.0,It's closer than I'd like it to be,2.0,Bridge,5.0,4.0,Eve Bennet lets be honest,5.0,4.0,4.0,Chocolate,2.0,4.0,1.0,4.0,3.0,Cards against Humanity,4.0,1.0,3.0,3.0,Dumping the same person 6 times in one term,1.0,3.0,0.0,,2.0,2.0,3.0,4.0,"Clairo, Loyle Carner, TMG, Vampire weekend",3.0,2.0,First,1.0,2.0,2.0,1.0,The year the universe forgot to take its meds,Sense of Humour,Sense of Humour,4.0,1.0,1.0,0.0,,5.0,,1.0,1.0,2020-11-22 13:11:55,exjxrkgdlt9r7hbqxexjxrxe1s5p64ux
4,True,person 2046,1.0,Worcester College,Economics and Management,Third,"Second, Third, Fourth + / Post Grad",Female,,Male,Not interested,Quality time with family and friends,Dinner at a nice restaurant,Takeaway and a film,The Deep Stuff™,4.0,Split equally,To not wake me up,South America,3.0,Moderate,1.0,,2.0,2.0,4.0,4.0,3.0,2.0,4.0,5.0,2.0,4.0,5.0,5.0,4.0,1.0,2.0,4.0,1.0,4.0,4.0,5.0,1.0,It's closer than I'd like it to be,2.0,Fever,4.0,2.0,Deano,5.0,1.0,2.0,Nice card for Christmas,2.0,5.0,4.0,3.0,4.0,Strip 6s&7s,3.0,1.0,4.0,3.0,I once slut dropped so hard on the Park End cheese floor I split my trousers,1.0,4.0,0.0,,4.0,4.0,3.0,3.0,Harry styles,2.0,3.0,💰 Sweet job 💰,5.0,2.0,1.0,1.0,World War C,Confidence,Confidence,3.0,0.0,0.0,0.0,,4.0,No,0.0,1.0,2020-11-22 13:13:23,889p1pnqopeb9908ch889p1k25o8ialn
5,True,person 1463,1.0,The Queen's College,History,First,First,Female,,Male,Not interested,The time off,Taste the countryside on Port Meadow,Dinner at a nice restaurant,The Deep Stuff™,4.0,Split equally,Sex,Europe,3.0,Slightly conservative,0.0,,5.0,4.0,3.0,4.0,3.0,3.0,5.0,2.0,4.0,2.0,2.0,3.0,3.0,1.0,1.0,4.0,4.0,3.0,3.0,4.0,2.0,"A certain society related to philosophy, politics and economics",1.0,Plush,3.0,3.0,Chef,3.0,3.0,4.0,Nice card for Christmas,2.0,5.0,3.0,4.0,1.0,Cards against Humanity,4.0,1.0,3.0,2.0,Not been on one yet :(,1.0,3.0,0.0,,2.0,3.0,2.0,4.0,"Gershwin, Chopin, ABBA, Queen",3.0,5.0,💰 Sweet job 💰,4.0,2.0,3.0,4.0,The year I tried online dating,Confidence,Kindness,4.0,1.0,0.0,0.0,,4.0,Make some of the terms more accessible for first years,0.0,1.0,2020-11-22 13:23:07,1qbhywzjjq56upb1qbhyktrqocyibahu
6,True,person 1460,1.0,Somerville College,Psychology (Experimental),First,"First, Second, Third",Female,,Male,Not interested,Quality time with family and friends,Taste the countryside on Port Meadow,Takeaway and a film,"Art, Music, Culture...",5.0,Split equally,Tickets for a night-out,Africa,2.0,Slightly left-wing,1.0,,5.0,1.0,3.0,4.0,3.0,4.0,2.0,2.0,2.0,4.0,5.0,5.0,2.0,1.0,1.0,4.0,4.0,4.0,3.0,1.0,5.0,"A certain society related to philosophy, politics and economics",1.0,A night in..,3.0,3.0,Jan Royall,2.0,1.0,3.0,Chocolate,1.0,5.0,3.0,3.0,5.0,Cards against Humanity,5.0,1.0,3.0,5.0,,1.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,"LANY, the XX, Lana Del Ray",4.0,4.0,First,3.0,0.0,1.0,1.0,up and down,Kindness,Kindness,5.0,0.0,0.0,1.0,St Edmund Hall,5.0,more about yourself,0.0,1.0,2020-11-22 13:14:06,ryuw0s30cr5dw0kxryuw0qd77h1ufbi5
7,True,person 984,1.0,St Hugh's College,Classics,Third,"Second, Third, Fourth + / Post Grad",Female,,"Male, Female",Not interested,The food,Dinner at a nice restaurant,Homemade meal,The Deep Stuff™,4.0,Them,To not wake me up,Europe,3.0,Slightly left-wing,1.0,,2.0,1.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,5.0,4.0,3.0,3.0,5.0,5.0,2.0,4.0,3.0,4.0,1.0,It's closer than I'd like it to be,1.0,Park End,5.0,3.0,Jess Curry,4.0,1.0,5.0,Nice card for Christmas,1.0,5.0,5.0,4.0,4.0,Cards against Humanity,4.0,1.0,4.0,4.0,I sconce anyone that slept with a married couple at their engagement party,1.0,3.0,0.0,,2.0,3.0,4.0,4.0,"Sister Sledge, Luther Vandross, Bruno Mars, Ariana Grande, Spice Girls, Shalamar",4.0,4.0,💰 Sweet job 💰,3.0,4.0,3.0,3.0,Shit. Growing at an Exponential Rate,Kindness,Kindness,4.0,1.0,0.0,0.0,,5.0,All good,0.0,1.0,2020-11-22 13:15:17,npod003e8x5ncbovuvc7unpod01c6maz
8,True,person 1724,1.0,Trinity College,Mathematics,Second,"First, Second, Third",Male,,Female,Not interested,The time off,Dinner at a nice restaurant,Dinner at a nice restaurant,"Art, Music, Culture...",5.0,Me,To not wake me up,Europe,4.0,Slightly left-wing,1.0,,5.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,1.0,1.0,4.0,1.0,3.0,4.0,3.0,2.0,It's closer than I'd like it to be,2.0,Park End,5.0,3.0,Harry,2.0,1.0,4.0,Nice card for Christmas,1.0,5.0,3.0,4.0,2.0,Monopoly,3.0,1.0,3.0,4.0,Chipped tooth on bottle of alcohol,1.0,4.0,0.0,,4.0,5.0,3.0,5.0,"Paramore, Passenger, Taylor Swift, Clairo, Sea Girls, Declan McKenna, Billie Eilish",4.0,4.0,Spouse,3.0,2.0,2.0,1.0,2012,Sense of Humour,Sense of Humour,5.0,0.0,0.0,0.0,,4.0,Vibes,1.0,1.0,2020-11-22 13:10:10,vimm0nl0q6dvkf0kbvimm0uj2ajen33m
9,True,person 1175,1.0,Wadham College,Chemistry,Second,"First, Second",Male,,Female,Happy either way,The presents,Taste the countryside on Port Meadow,Dinner at a nice restaurant,"Art, Music, Culture...",4.0,Split equally,Sex,North America,3.0,Moderately left-wing,1.0,,4.0,1.0,3.0,3.0,5.0,2.0,2.0,4.0,1.0,5.0,4.0,5.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,5.0,"A certain society related to philosophy, politics and economics",4.0,Park End,4.0,3.0,Josh McCracken,4.0,2.0,5.0,Nothing,2.0,4.0,4.0,4.0,3.0,Pictionary,4.0,1.0,5.0,4.0,Sconce if you've pissed yourself in line for a club,1.0,3.0,0.0,,2.0,2.0,2.0,5.0,"Maurice Ravel, Siriusmo, Tame Impala, Kings of Convenience",5.0,3.0,Spouse,2.0,2.0,3.0,1.0,The Happening,Kindness,Kindness,4.0,0.0,0.0,0.0,,5.0,Nah you're pretty good,1.0,1.0,2020-11-22 13:15:13,dtucslaxbhgxks59r06dtucskz7mac7d
10,True,person 2809,1.0,Pembroke College,Modern Languages,Second,"Third, Second, First",Male,,Female,Not interested,Quality time with family and friends,Something active!,Dinner at a nice restaurant,"Art, Music, Culture...",3.0,Pay separately,Breakfast,Europe,2.0,Moderately left-wing,1.0,,5.0,1.0,4.0,4.0,4.0,2.0,2.0,4.0,1.0,4.0,5.0,5.0,3.0,1.0,1.0,2.0,2.0,4.0,5.0,4.0,5.0,It's closer than I'd like it to be,4.0,Park End,5.0,3.0,Tigs Murphy,4.0,1.0,5.0,Nice card for Christmas,2.0,5.0,5.0,5.0,4.0,Cards against Humanity,4.0,5.0,1.0,1.0,I sconce anyone who has kept an excel spreadsheet rating all their shags with 9 different variables,1.0,2.0,0.0,,5.0,5.0,1.0,5.0,"Vistas, nanobii, ABBA, Dean Martin",3.0,5.0,Blue,1.0,2.0,2.0,3.0,Generation Why,Kindness,Sense of Humour,4.0,1.0,0.0,0.0,,5.0,More often!,1.0,1.0,2020-11-22 13:35:32,u2vwx93zwits0r5hhzd8u2vwx93163uq
