,Your privacy is important to us. By continuing you agree to [our privacy guidelines](https://docs.google.com/document/d/1CMuFMFBw8FoJ2JRSkDh7QS31ZW5-Bf3\_BDg4pLLJ9B4/edit?usp=sharing).,name,"{{field:5b1c8837-eea7-4074-bc27-c5a4efb4648a}}, did Carole Baskin murder her husband? 🐯",What college are you?,Are you...,I am looking for a...,I am in my...,I want to match with a...,What course do you?,"{{field:5b1c8837-eea7-4074-bc27-c5a4efb4648a}}, are you chaotic?",What type of chaos are you?,I identify as being..,I am fine matching with people with different political beliefs than me,I specifically do not want to match with someone who is..,Are there things science can't explain?,Are you an optimist?,Do you like going to new places with new people?,Is it okay to step on others to get ahead?,Do individuals have a responsibility to make sacrifices for their community?,How much do you love your college?,Do you like to work in your college library?,Would you date someone that rows?,Would you go on a date to a college formal?,Sexiest JCR role?,What were you like on your freshers group chat?,The biggest sin on College FB Groups is...,"{{field:5b1c8837-eea7-4074-bc27-c5a4efb4648a}}, what is your heart’s desire? 
","How smart are you compared to the average Oxford student? 
",Do you make an effort to attend lectures?,What type of tute partner are you?,"{{field:5b1c8837-eea7-4074-bc27-c5a4efb4648a}}, have you ever overslept and missed a tutorial?",Most creative excuse for a late/missed essay?,I generally find it easy to find friends to go to the places I want,"Where do you study? 
",Worst library sin?,Favourite library?,What is the biggest waste of human potential?,"Be honest, have you ever hacked?",Would you ever date a hack?,Do you enjoy crewdates?,Best sconce?,{{field:5b1c8837-eea7-4074-bc27-c5a4efb4648a}} do you drink excessively?,Are you a...,Greggs or Pret?,Favourite pub? 🍺,Favourite cafe? ☕,Is clubbing a large part of your social life?,Is Fever a bad idea?,I love Bridge Thursdays this much...,I would rather go to the pub than the club..,Ideal afters?,How musical are you?,Is music a big part of your life?,What type of music do you enjoy?,Favourite band/artist?,{{field:5b1c8837-eea7-4074-bc27-c5a4efb4648a}} how kinky are you?,Do you consider yourself athletic?,"{{field:5b1c8837-eea7-4074-bc27-c5a4efb4648a}}, what sports do you do?",I generally consider myself..,In my friendship group I am..,Do you think you have a good work/life balance?,I want to go on dates but I feel like I can’t find anyone…,My ideal post-lockdown first date would be...,Do you use dating apps?,Which ones?,How satisfied are you with the present choices for dating apps?,"Out of 5 matches, how many would you say you meet in person? \* ",Do you want to meet dating app matches in person?,Why don't you meet up with matches in person?,Would you like to be an early user for a new dating app in Michaelmas 2020?,I am okay matching with someone from my college,I am okay matching with someone from my course,How'd we do?,Your suggestions and feedback are welcome,I want to find a..,The college I dislike the most is...,Favourite club in Oxford?,(optional) What's been your experience with dating apps and how could it be improved?,I want to be matched with people looking for...,Submitted At,Token
0,1.0,person 2612,No,St Peter's College,Female,"Male, Female",Second year,"First year, Second year, Third year, Fourth year +",Archaeology and Anthropology,1.0,Chaotic good,Moderate,1.0,,1.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,1.0,President👑,I wasn't in the freshers group chat (thankfully),Just general shitposting,First🎓,3.0,0.0,Ask questions to eat up the 🕐,0.0,pretending to have forgotten to have attached it even though there was no essay to attach anyway,True,Uni libraries,never actually working,Rad Cam,Oxford University Conservative Association,0.0,1.0,1.0,spat it in his face when he came unexpectedly,0.0,A mix of all the above depending on the week,Pret a Manger,Swan and Castle,The missing bean,0.0,0.0,3.0,False,Asleep,3.0,0.0,,,6.0,2.0,Netball,Extroverted,The Floater,1.0,False,getting smashed at a bar,0.0,,,,,,1.0,0.0,1.0,5.0,was great x,,,,,,2020-05-26 18:40:16,9vnf46mr780wlc5vmqxr9vnf4m9khler
1,1.0,person 556,I don't know who that is,Hertford College,Female,Male,Second year,"First year, Second year",English Language and Literature,1.0,Chaotic evil,Moderately conservative,0.0,"Moderately conservative, Very conservative",1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,Entz 🎫,The non-stop chatterbox,Sharing events nobody cares about,Spouse❤️,5.0,1.0,In love with my tutor,0.0,,False,My room,Staring at students I have a crush on,Bod,My college's JCR,0.0,1.0,1.0,Most likely to get rejected by their tutor,1.0,A mix of all the above depending on the week,Greggs,The rabbit,Missing B,1.0,0.0,1.0,False,Asleep,1.0,1.0,Pop,The Japanes house,10.0,4.0,"Basketball, Football, Rowing, Rugby, Shooting, Cycling, Cricket",Extroverted,The Organizer,1.0,True,Reading together,1.0,"Tinder, Bumble, Hinge",1.0,5.0,1.0,They don't respond to messages,1.0,1.0,1.0,5.0,,,,,,,2020-05-26 18:33:04,ap0cdkr5crv5dfbw2a8map0cdk32btys
2,1.0,person 1210,I don't know who that is,St Hilda's College,Female,Female,First year,"First year, Second year",Classics,1.0,Chaotic evil,Moderate,1.0,,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,President👑,I wasn't in the freshers group chat (thankfully),Sharing events nobody cares about,First🎓,1.0,1.0,like to disagree but shy,0.0,,False,College library,"sitting at the desk I like, IT'S MINE DAMN IT",Taylorian,Student 'journalism',0.0,1.0,1.0,,1.0,Creature of the night 🌙 (no idea when I'll be up),Greggs,KA,Vaults and Gardens,1.0,1.0,3.0,True,Kebab van,1.0,0.0,,,3.0,1.0,None,Introverted,The Mess,0.0,True,,0.0,,,,,,1.0,1.0,1.0,4.0,,,,,,,2020-05-26 18:27:42,xvywo5eu6ml9m78voq00xv1jiml6i35z
3,1.0,person 1816,Yes,Jesus College,Male,Female,Second year,Second year,Classics and Oriental Studies,1.0,Chaotic good,Slightly conservative,1.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Entz 🎫,The drama starter,Ranting / causing drama,Spouse❤️,1.0,1.0,Please don't ask me a question,1.0,Rrr,False,Uni libraries,T4r,44r,Oxford University Conservative Association,0.0,0.0,0.0,,0.0,Creature of the night 🌙 (no idea when I'll be up),Pret a Manger,Yeah 4rr,Tggf,0.0,0.0,1.0,False,in A&E,0.0,1.0,Pop,Ttt,2.0,0.0,Rowing,Extroverted,The Floater,0.0,False,,0.0,,,,,,1.0,0.0,0.0,,Rr,,,,,,2020-05-26 18:19:53,mqpi15tm5wob9zgzozs9rymqpi1cr279
4,1.0,person 1581,Yes,Trinity College,Female,Male,Second year,"First year, Third year, Second year, Fourth year +, Post Grad",Economics and Management,1.0,Chaotic good,Slightly conservative,1.0,,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,President👑,The drama starter,Just general shitposting,First🎓,5.0,0.0,Please don't ask me a question,1.0,Personal reasons,True,My room,Farting,My bed,Student 'journalism',0.0,1.0,0.0,,1.0,Creature of the night 🌙 (no idea when I'll be up),Greggs,Spoons,Starbucks,1.0,1.0,3.0,True,in A&E,2.0,1.0,"Electronic, Indie, Rap",Bicep,7.0,2.0,Football,Extroverted,The Daredevil,1.0,False,Pub,1.0,Tinder,3.0,0.0,1.0,It's difficult arranging to meet // I don't know where to meet them,1.0,1.0,1.0,3.0,Lol,,,,,,2020-05-26 18:16:20,7e63pe5zfoarrrve1a3dm7e63pe52qn4
5,1.0,person 2043,No,Pembroke College,Male,Female,First year,"First year, Second year, Third year","Philosophy, Politics and Economics (PPE)",0.0,,Moderately left-wing,1.0,,0.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,Welfare 💜,The silent observer,Ranting / causing drama,First🎓,3.0,0.0,The Teamplayer (back them up!),0.0,,False,College library,,RadCam,The Oxford Union,0.0,1.0,1.0,,1.0,Get up in the afternoon person ⏰ (!!!),Greggs,The Bear,,1.0,0.0,4.0,True,Kebab van,3.0,1.0,"Blues, Indie, Electronic, Jazz, Rap, Folk",Neutral Milk Hotel,7.0,2.0,Football,In between,The Floater,1.0,True,gig,1.0,"Tinder, Bumble",3.0,0.0,1.0,Messaging is awkward // I don't know what to say,1.0,0.0,1.0,4.0,,,,,,,2020-05-26 18:13:44,bn2aqb821epfak2r6eshbn2awk85e7ex
6,1.0,person 712,Yes,Trinity College,Male,Female,Second year,"First year, Second year",Law (Jurisprudence),1.0,Chaotic good,Moderately left-wing,1.0,,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,President👑,The drama starter,Using it as your personal lost & found,Spouse❤️,3.0,1.0,The Teamplayer (back them up!),1.0,I have back disease and took sleep medicine really late.,False,College library,Picking your nose thinking your sly,Rad cam,The Oxford Union,0.0,0.0,1.0,Someone that got spitroasted by two dudes,0.0,A mix of all the above depending on the week,Pret a Manger,Don’t have a preference,Don’t have a preference,0.0,0.0,2.0,True,Kebab van,4.0,1.0,"Blues, Electronic, Jazz, Pop, Rap, R&B, Indie, Reggae, Classical",Alice in Chains,10.0,2.0,"Cricket, Football",In between,The Wildcard,0.0,True,A midnight picnic on the mound...,0.0,,,,,,1.0,0.0,1.0,5.0,T,,,,,,2020-05-26 18:06:40,ioh0cnrch29mzzioh0cnv13g4eqt7mxx
7,1.0,person 2613,I don't know who that is,St Hilda's College,Female,"Male, Female",Second year,"Second year, Third year, Fourth year +, Post Grad",Modern Languages,1.0,Chaotic neutral,Moderately left-wing,1.0,,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,Welfare 💜,The silent observer,Ranting / causing drama,Spouse❤️,3.0,1.0,Ask questions to eat up the 🕐,0.0,,False,Uni libraries,Napping,Duke Humphrey’s in Bodleian. It’s the only study space I like going to. Not a fan of upper/lower reading room,The Oxford Union,0.0,1.0,0.0,,0.0,Creature of the night 🌙 (no idea when I'll be up),Greggs,Eagle and Child,Café Coco (Florence Pugh’s family runs it!),0.0,1.0,2.0,False,McDonalds,4.0,1.0,"Classical, Indie, Pop, Alternative",Sufjan Stevens,9.0,2.0,"Cycling, Swimming, Dancing",In between,The Wildcard,1.0,True,Androgynous boy/girl with Jewish curls,0.0,,,,,,1.0,1.0,1.0,4.0,Ask about hobbies other than sports <3,,,,,,2020-05-26 17:17:51,4wwlylzdcyzlvoxb4wwlyiwncxd0g86f
8,1.0,person 103,Yes,Lincoln College,Male,Male,First year,"First year, Second year, Third year, Fourth year +, Post Grad",English Language and Literature,1.0,Chaotic good,Slightly left-wing,1.0,,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,Entz 🎫,I wasn't in the freshers group chat (thankfully),Just general shitposting,Spouse❤️,3.0,1.0,Please don't ask me a question,0.0,I told my tutor my neighbour was having really loud sex late into the night,False,College library,Whispering,Lincoln,My college's JCR,0.0,1.0,1.0,I sconce anyone who got a blowjob in the Tate modern,1.0,A mix of all the above depending on the week,Greggs,Chequers,X,1.0,1.0,4.0,False,Kebab van,2.0,1.0,"Reggae, Pop, Classical, Blues, R&B, Indie",Odetta,6.0,3.0,"Cycling, Swimming",In between,The Mess,0.0,True,Shared bottle of wine beside a beautiful lake / river,1.0,Tinder,2.0,1.0,1.0,Messaging is awkward // I don't know what to say,1.0,1.0,1.0,5.0,Perf,,,,,,2020-05-26 17:16:23,dowtml43ld4m7cva3jdfbdowtml4bn31
9,1.0,person 2846,Yes,St Edmund Hall,Male,Female,First year,First year,Biomedical Sciences,0.0,,Moderate,1.0,,1.0,1.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,Welfare 💜,The silent observer,Ranting / causing drama,Spouse❤️,3.0,1.0,The Teamplayer (back them up!),0.0,,True,College library,,Teddy hall library,The Oxford Union,0.0,0.0,0.0,,0.0,A mix of all the above depending on the week,Pret a Manger,Chequers,Missing bean,0.0,1.0,3.0,True,Asleep,2.0,1.0,"Classical, Blues, Country, Jazz, Pop, Rap, R&B, Indie",Elton john,6.0,2.0,Does yoga count as a sport ?!!?,Introverted,The therapist,1.0,True,,1.0,"Tinder, Hinge",2.0,2.0,1.0,"It's hard to find people I have things in common with, Messaging is awkward // I don't know what to say",1.0,0.0,1.0,4.0,,,,,,,2020-05-26 17:15:35,406znp67vbtg0xus7id406znp6s6tyud
